City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
27,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,East London,ZA,65.35,light rain,-33.0153,27.9116,Tu Casa
29,Srandakan,ID,76.26,overcast clouds,-7.9386,110.2506,Puri Brata
30,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Lewiston,US,64.92,light rain,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
32,Busselton,AU,47.07,clear sky,-33.65,115.3333,Observatory Guest House
33,Yar-Sale,RU,40.44,overcast clouds,66.8333,70.8333,Yalemd
34,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
35,Kaitangata,NZ,52.41,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
36,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
37,Necochea,AR,52.09,clear sky,-38.5473,-58.7368,dyd -mar Hotel
38,Torbay,CA,54.5,few clouds,47.6666,-52.7314,Gallows Cove
39,Atar,MR,89.02,scattered clouds,20.5169,-13.0499,Oumou Elghoura
40,Victoria,HK,78.33,scattered clouds,22.2855,114.1577,Mini Central
42,Carnarvon,AU,65.03,clear sky,-24.8667,113.6333,Hospitality Carnarvon
43,Oriximina,BR,88.72,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
44,Yulara,AU,61.52,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
45,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
46,Ngunguru,NZ,57.29,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
47,Poronaysk,RU,42.37,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
48,Mehamn,NO,35.55,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
49,Punta Alta,AR,61.54,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
50,Westport,US,69.06,clear sky,41.1415,-73.3579,The Westport Inn
52,Garhi Yasin,PK,71.62,clear sky,27.9069,68.511,Hashmi Guest House
53,Port Elizabeth,ZA,61.32,light rain,-33.918,25.5701,39 On Nile Guest House
55,Kodiak,US,47.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
56,Mandera,KE,80.74,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
58,Abu Zabad,SD,82.13,scattered clouds,12.35,29.25,حامد محمد نور
59,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Inhambane,MZ,70.27,clear sky,-23.865,35.3833,Oceano
61,Leshukonskoye,RU,40.1,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
64,Pangnirtung,CA,30.2,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
65,Tigil,RU,34.57,snow,57.8,158.6667,Tigil'
66,Tacarigua,VE,82.44,broken clouds,10.0862,-67.9198,Posada Tacarigua C.A.
67,Port Augusta,AU,54.12,clear sky,-32.5,137.7667,Majestic Oasis Apartments
68,Katsuura,JP,70.68,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
69,Boden,SE,41.0,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
70,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
73,Atuona,PF,77.16,light rain,-9.8,-139.0333,Villa Enata
74,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
75,Punta Arenas,CL,53.71,clear sky,-53.15,-70.9167,Hotel Hain
76,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
77,Bluff,NZ,56.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
78,Cape Town,ZA,61.27,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
79,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Nikolskoye,RU,48.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
81,Sao Gabriel Da Cachoeira,BR,78.01,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
82,Yazd,IR,69.91,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
83,Nanortalik,GL,31.87,clear sky,60.1432,-45.2371,Hotel Kap Farvel
84,Cidreira,BR,60.85,overcast clouds,-30.1811,-50.2056,Hotel Castelo
85,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
86,Na Wa,TH,64.49,light rain,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
87,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
88,Hithadhoo,MV,81.0,few clouds,-0.6,73.0833,Scoop Guest House
89,Ketchikan,US,57.18,mist,55.3422,-131.6461,Snow's Cove Lodge
