City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
154,Eyl,SO,7.9803,49.8164,76.8,88,14,13.31,few clouds
155,Phan Thiet,VN,10.9333,108.1,72.32,88,26,6.85,scattered clouds
156,Grindavik,IS,63.8424,-22.4338,39.67,75,75,18.41,broken clouds
157,Svetlogorsk,BY,52.6333,29.7333,42.75,83,55,7.25,broken clouds
158,Sedro-Woolley,US,48.5039,-122.2361,72.32,51,0,8.05,clear sky
159,Vao,NC,-22.6667,167.4833,68.9,62,9,11.92,clear sky
160,Losal,IN,27.4,74.9167,73.44,34,0,4.79,clear sky
161,Lata,PT,40.1629,-8.3327,64.81,97,25,1.7,scattered clouds
162,Shache,CN,38.4167,77.2406,54.91,19,0,5.95,clear sky
163,Kurikka,FI,62.6167,22.4167,46.09,98,97,6.33,overcast clouds
164,Kieta,PG,-6.2167,155.6333,81.09,76,99,1.77,overcast clouds
165,Hasaki,JP,35.7333,140.8333,70.21,72,100,17.72,overcast clouds
166,Bakchar,RU,57.0186,82.0711,30.09,91,100,4.79,overcast clouds
167,Sao Filipe,CV,14.8961,-24.4956,77.94,82,77,6.58,broken clouds
168,Agirish,RU,61.9247,63.0231,38.3,94,99,3.67,overcast clouds
169,Ouadda,CF,8.0777,22.4007,72.66,74,100,4.05,overcast clouds
170,Thessalon,CA,46.2501,-83.5666,43.09,65,100,17.29,overcast clouds
171,Saint George,US,37.1041,-113.5841,84.43,15,0,3.0,clear sky
172,Butaritari,KI,3.0707,172.7902,81.79,75,100,17.87,overcast clouds
173,Hami,CN,42.8,93.45,51.89,39,0,6.04,clear sky
174,Masvingo,ZW,-20.0637,30.8277,72.05,37,30,6.08,scattered clouds
175,Baruun-Urt,MN,46.6806,113.2792,30.31,45,100,8.08,overcast clouds
176,Cap Malheureux,MU,-19.9842,57.6142,71.47,62,11,7.0,few clouds
177,Kendari,ID,-3.945,122.4989,74.66,95,88,2.62,overcast clouds
178,Saskylakh,RU,71.9167,114.0833,21.15,91,100,11.86,overcast clouds
179,Victoria,HK,22.2855,114.1577,78.33,83,27,5.01,scattered clouds
180,Paamiut,GL,61.994,-49.6678,33.69,57,24,18.57,few clouds
181,Hay River,CA,60.8156,-115.7999,35.58,60,75,25.32,broken clouds
182,Hurghada,EG,27.2574,33.8129,77.04,36,0,6.91,clear sky
183,Taltal,CL,-25.4,-70.4833,60.19,74,24,2.91,few clouds
184,Clive,US,41.603,-93.7241,55.62,45,100,23.02,overcast clouds
185,Izumo,JP,35.3667,132.7667,55.35,91,10,4.99,clear sky
186,Balikpapan,ID,-1.2675,116.8289,77.99,100,40,3.44,scattered clouds
187,Hovd,MN,48.0056,91.6419,27.9,50,7,1.66,clear sky
188,Lompoc,US,34.6391,-120.4579,78.01,84,100,5.75,mist
189,Alofi,NU,-19.0595,-169.9187,82.29,69,47,11.5,scattered clouds
190,Acapulco,MX,16.8634,-99.8901,82.69,82,29,4.18,light rain
191,Zabaykalsk,RU,49.6333,117.3167,30.0,64,7,17.94,clear sky
192,Tiksi,RU,71.6872,128.8694,12.6,93,99,7.92,overcast clouds
193,Kiama,AU,-34.6833,150.8667,61.0,76,0,1.99,clear sky
194,Okato,NZ,-39.2,173.8833,57.9,100,100,0.72,overcast clouds
195,Bosaso,SO,11.2842,49.1816,79.61,55,0,1.99,clear sky
196,Ghanzi,BW,-21.5667,21.7833,75.74,16,2,9.26,clear sky
197,Bubaque,GW,11.2833,-15.8333,81.81,76,69,13.38,light rain
198,Nizwa,OM,22.9333,57.5333,72.68,23,0,1.45,clear sky
199,Bangolo,CI,7.0069,-7.475,70.39,98,30,2.3,light rain
200,Katol,IN,21.2667,78.5833,67.46,73,3,6.51,clear sky
201,Samfya,ZM,-11.3649,29.5565,71.56,25,3,11.41,clear sky
202,Saumur,FR,47.3333,-0.25,63.03,99,98,12.88,overcast clouds
203,San Patricio,US,28.017,-97.5169,90.32,46,57,12.5,broken clouds
204,Roblin,CA,51.23,-101.3565,43.45,52,53,12.73,broken clouds
205,Yugo-Kamskiy,RU,57.7053,55.5894,42.82,92,100,3.29,overcast clouds
206,Kamenka,RU,51.3223,42.7678,37.35,73,36,5.59,scattered clouds
207,San Juan,AR,-31.5375,-68.5364,71.73,14,0,4.54,clear sky
208,Bilma,NE,18.6853,12.9164,82.35,12,0,5.88,clear sky
