City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Ayan,RU,2022-07-14 03:34:16,56.45,138.1667,60.64,91,100,8.08
26,Georgetown,MY,2022-07-14 03:34:16,5.4112,100.3354,86.9,76,20,5.01
27,Thunder Bay,CA,2022-07-14 03:30:12,48.4001,-89.3168,55.31,82,20,4.61
28,Pevek,RU,2022-07-14 03:34:17,69.7008,170.3133,38.66,77,75,16.71
29,Noyabrsk,RU,2022-07-14 03:34:17,63.1994,75.4507,61.32,53,100,8.46
30,Mataura,NZ,2022-07-14 03:34:18,-46.1927,168.8643,46.47,92,64,4.61
31,Ghanzi,BW,2022-07-14 03:34:18,-21.5667,21.7833,50.16,49,2,4.85
32,Kahului,US,2022-07-14 03:34:19,20.8947,-156.47,84.22,74,40,24.16
33,Rock Springs,US,2022-07-14 03:34:19,41.5875,-109.2029,75.04,41,40,14.97
34,Kapaa,US,2022-07-14 03:34:20,22.0752,-159.319,84.18,78,75,17.27
35,Sibolga,ID,2022-07-14 03:34:20,1.7427,98.7792,86.58,63,96,4.47
36,Nyurba,RU,2022-07-14 03:34:21,63.2842,118.3319,74.73,50,20,4.47
37,Mayor Pablo Lagerenza,PY,2022-07-14 03:34:21,-19.9309,-60.7718,76.15,52,9,9.08
38,Angoche,MZ,2022-07-14 03:34:21,-16.2325,39.9086,69.24,77,0,7.85
39,Sterling,US,2022-07-14 03:32:04,39.0062,-77.4286,78.12,87,100,13.0
40,Sao Filipe,CV,2022-07-14 03:34:22,14.8961,-24.4956,73.15,80,18,10.78
41,Karratha,AU,2022-07-14 03:35:22,-20.7377,116.8463,73.9,38,70,16.69
42,Sarankhola,BD,2022-07-14 03:35:23,22.3082,89.7897,88.45,69,75,16.51
43,Albany,US,2022-07-14 03:35:23,42.6001,-73.9662,67.3,88,78,2.15
44,Castro,BR,2022-07-14 03:35:24,-24.7911,-50.0119,52.29,97,100,7.81
45,Batticaloa,LK,2022-07-14 03:35:24,7.7102,81.6924,88.39,50,78,11.92
46,Palmas De Monte Alto,BR,2022-07-14 03:35:25,-14.2672,-43.1619,70.3,56,65,9.62
47,Saint-Philippe,RE,2022-07-14 03:35:25,-21.3585,55.7679,62.19,78,47,11.65
48,Hithadhoo,MV,2022-07-14 03:35:25,-0.6,73.0833,83.3,73,24,12.41
49,Abha,SA,2022-07-14 03:35:26,18.2164,42.5053,66.45,56,40,0.0
50,Upernavik,GL,2022-07-14 03:35:26,72.7868,-56.1549,39.56,89,92,12.64
51,Moerai,PF,2022-07-14 03:35:27,-22.4333,-151.3333,71.53,64,31,23.67
52,Cape Town,ZA,2022-07-14 03:32:00,-33.9258,18.4232,57.88,94,75,8.05
53,Hervey Bay,AU,2022-07-14 03:35:27,-25.2986,152.8535,63.23,51,0,13.87
54,Bluff,NZ,2022-07-14 03:35:28,-46.6,168.3333,46.8,68,57,12.75
55,Raton,US,2022-07-14 03:35:28,36.9034,-104.4391,77.34,54,10,8.14
56,Evensk,RU,2022-07-14 03:35:28,61.95,159.2333,59.13,78,18,5.23
57,Lagoa,PT,2022-07-14 03:35:29,39.05,-27.9833,68.23,93,97,12.37
